[2019-11-11T20:22:04Z]Starting reaper Server version 0.1.0ALPHA build nonRelease
[2019-11-11T20:22:04Z]No certificate found at /Users/hthomas/go/src/github.com/infosechoudini/reaper/data/x509/server.crt
[2019-11-11T20:22:04Z]Creating in-memory x.509 certificate used for this session only.
[2019-11-11T20:22:06Z]Starting reaper Server using an X.509 certificate with a SHA256-RSA signature of 9249d779a07234b71197fe79f20eb9e4a457a3ba555233e5b53deabd3d892b0b6a0b2812f16aa824ee1ac865da50d48db13017e82b8d2bb1e8ae60a9ed8c1deba983be16376c0b124b57602d7c9e6eeb3c17448be58ee426c62542b5649d44bea9902868b2f8a2d3b9592cee4d3e8f545f3a9906d36ce8700a5bffd3bd2807bef711b5950b84083ab696dfe8a288bcf71870b818af363eb3f647247fa92d6f9622baebf8bfa5c822665b61194f1953db339dec50402a7942c7eeec7f4e183a4fe710f0de3e67c7e56c067fcf87711d13621de9115b039d56b7e8f7e9885b7802a5253e4fec6b2d1312f2128dbc8a89a366aef931f0206556a5350a5f0f7345288e1f1b6ec3b11ad8f731b904f407c9f7d58a402f1008f90e71ccd97e1866c2fbe60d5372cb7cb9c8af9610c7c8a6210192fa193fff4c32bc0739600742c28c2ab01482850a8479c2ea2474c9fd45948ef1debd0424b9ae299ac20987379bd171e4446f1b0033d74f1d4f23fa11cc4f7fdfda036dd3a949d8247f4b8c815d0c7ccf7bed3908a8394bd8aa1e575fa558c0212d8e43aad8727caf7ddde4f82aeb1d23188f714963742d2bb825895bfdbc3538a7f0cf54d77d425e0f2831a11ee2f628495af6354a44673f14884e5f91132d55f8bf22ef27e72223e23353073a067d09901d13a1dd0641a8831856578aa24632839ad836b8d7ba5bb9d02e48b17db8
[2019-11-11T20:22:06Z]Starting reaper Server using an X.509 certificate with a public key of &{619651586124909474079643683973004011174639106221253258455856891948396975113649004491714994497453434381422395037722509534660409234953554581023067609901676485585783683414682791326189707903135337043724683370885529954766939160777960049052255019560419944269628430659207442158588578456703548464543080661063781607372068493781435284683315762776226133883306602407440255343671911110331039471133913741518899884797604441867746988606637388409247460868300182781891003684621434271355760218661839743711761812804618648841140653458316298641515905412840840293859826258340221093261239465751151877879081650634312242474078696138918304833487303798988544735839718314735091617495891847759325667695551928640498697425090853719527232418304016850708582804918415054942583679918008488596099621896510541490315101614602169401477052447215079643414594760824857260887797469785335212049848339746333041202908502186276959611737814874883495399349290657361073121485063520976808540636753369654409122983567010924275963324409575222233864824944934425005953122896411757288832584973949590238101181405564726866902692948402571038662145979678484908850625724451031871510457250932779186932020675777329359960391209776822099082174580505881128435631419325668620393940237136270514561401967 65537}
[2019-11-11T20:22:06Z]Starting reaper Server using an X.509 certificate with a serial number of 58703363054846253169410260871727293581
[2019-11-11T20:22:06Z]Starting reaper Server using an X.509 certifcate with a subject of 
[2019-11-11T20:22:06Z]Starting reaper Server using an X.509 certificate with a SHA256 hash, calculated by reaper, of 2431624490e5bb38da5723944cbed15b250045d35b6bd26096d69f5cb574f0b1
[2019-11-11T20:22:06Z]Starting h2 Listener at 172.16.254.1:443
[2019-11-11T20:22:28Z]Received new agent OPAQUE user registration initialization from 1d36b846-4720-4ecb-915e-d88dac95a2b5
[2019-11-11T20:22:30Z]Received new agent OPAQUE user registration complete from 1d36b846-4720-4ecb-915e-d88dac95a2b5
[2019-11-11T20:22:33Z]Received new agent OPAQUE authentication from 1d36b846-4720-4ecb-915e-d88dac95a2b5
